Marca_Temporal;ID;Sexo;Edad;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;SUMA;CLUSTER;NIVEL_SATISFACCION
09/25/2024  15:58:08;20200310;Femenino;23;1;2;2;1;1;3;4;3;17;3;SATISFACCIÓN MEDIA
09/25/2024  16:00:22;20200323;Femenino;23;1;2;2;1;1;1;4;3;15;2;SATISFACCIÓN BAJA
09/25/2024  16:02:42;20210824;Maculino;21;1;3;2;1;3;1;3;3;17;3;SATISFACCIÓN MEDIA
09/25/2024  16:44:30;20171126;Maculino;27;2;2;2;2;2;3;3;4;20;1;SATISFACCIÓN ALTA
09/25/2024  16:57:01;20180994;Maculino;25;2;2;2;1;2;1;3;3;16;3;SATISFACCIÓN MEDIA
09/25/2024  17:23:14;20181184;Femenino;26;1;1;2;2;3;4;2;5;20;1;SATISFACCIÓN ALTA
09/25/2024  21:28:17;20180257;Femenino;25;1;2;1;1;2;2;4;3;16;3;SATISFACCIÓN MEDIA
09/26/2024 21:22:18;20200339;Maculino;23;2;3;4;2;2;3;3;4;23;1;SATISFACCIÓN ALTA
09/26/2024 23:34:44;20210850;Maculino;21;2;3;3;3;3;3;4;5;26;1;SATISFACCIÓN ALTA
09/27/2024 01:01:07;20200340;Femenino;23;2;2;3;3;3;3;4;4;24;1;SATISFACCIÓN ALTA
09/27/2024 03:34:40;20200317;Femenino;23;1;1;2;1;1;1;4;2;13;2;SATISFACCIÓN BAJA
09/27/2024 09:20:26;20210706;Femenino;22;1;2;1;1;3;4;3;3;18;3;SATISFACCIÓN MEDIA
09/27/2024 09:26:20;20201408;Femenino;23;2;2;1;1;3;3;2;3;17;3;SATISFACCIÓN MEDIA
09/27/2024 13:48:53;20190526;Femenino;24;1;1;1;1;3;3;3;2;15;2;SATISFACCIÓN BAJA
09/27/2024 15:10:54;20230176;Femenino;21;1;2;2;2;3;1;3;3;17;3;SATISFACCIÓN MEDIA
09/27/2024 16:30:12;20200077;Femenino;21;1;2;1;2;3;1;2;2;14;2;SATISFACCIÓN BAJA
09/27/2024 21:39:35;20200341;Femenino;23;2;3;2;2;3;1;2;3;18;3;SATISFACCIÓN MEDIA
09/27/2024 22:02:11;20200293;Maculino;23;2;3;2;3;2;4;3;4;23;1;SATISFACCIÓN ALTA
09/28/2024 04:21:30;20220816;Maculino;21;3;2;2;3;1;3;4;2;20;1;SATISFACCIÓN ALTA
09/28/2024 04:39:07;20210835;Femenino;24;2;2;3;3;3;2;3;4;22;1;SATISFACCIÓN ALTA
09/28/2024 05:20:12;20220760;Femenino;22;2;2;2;3;3;3;4;3;22;1;SATISFACCIÓN ALTA
